FileOrder,ModelName,ModelPath,PatternType,SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfConstantSpecies,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM
11,11_BIOMD0000000225.xml.ssa,./models/sbml/test/all/11_BIOMD0000000225.xml.ssa.sbml,WithProbWEAK_UNTIL,1687,717,47149,47149,47149,47149,47149,47149,47149,47149,47149,47149,47149,47149,7696,17314,77057,1033261,981366,1355,642,51232,51232,51232,51232,51232,51232,51232,51232,51232,51232,51232,51232,6806,27234,57911,427880,386703,12505,12505,4033,23129,23129,23129,23129
12,12_BIOMD0000000092.xml.ssa,./models/sbml/test/all/12_BIOMD0000000092.xml.ssa.sbml,WithProbWEAK_UNTIL,1702,795,35681,35681,35681,35681,35681,35681,35681,35681,35681,35681,35681,35681,5498,28341,67130,209706,196236,1463,637,36978,36978,36978,36978,36978,36978,36978,36978,36978,36978,36978,36978,3249,34366,64307,412521,391856,10966,10966,3282,19125,19125,19125,19125
13,13_BIOMD0000000267.xml.ssa,./models/sbml/test/all/13_BIOMD0000000267.xml.ssa.sbml,WithProbWEAK_UNTIL,1718,739,34597,34597,34597,34597,34597,34597,34597,34597,34597,34597,34597,34597,4938,14963,70284,540744,514028,1556,692,39610,39610,39610,39610,39610,39610,39610,39610,39610,39610,39610,39610,6276,22043,57178,282675,263878,11346,11346,2344,15696,15696,15696,15696
14,14_MODEL6624199343.xml.ssa,./models/sbml/test/all/14_MODEL6624199343.xml.ssa.sbml,WithProbWEAK_UNTIL,1682,764,42440,42440,42440,42440,42440,42440,42440,42440,42440,42440,42440,42440,6022,20683,66297,506381,477941,1445,586,45491,45491,45491,45491,45491,45491,45491,45491,45491,45491,45491,45491,5902,30113,55254,199088,177847,14119,14119,3852,36438,36438,36438,36438
15,18_BIOMD0000000282.xml.ssa,./models/sbml/test/all/18_BIOMD0000000282.xml.ssa.sbml,WithProbWEAK_UNTIL,1195,525,44020,44020,44020,44020,44020,44020,44020,44020,44020,44020,44020,44020,6202,45108,105994,277870,263479,1129,507,40686,40686,40686,40686,40686,40686,40686,40686,40686,40686,40686,40686,6316,72339,76130,266362,214223,15635,15635,3505,44942,44942,44942,44942
16,20_BIOMD0000000128.xml.ssa,./models/sbml/test/all/20_BIOMD0000000128.xml.ssa.sbml,WithProbWEAK_UNTIL,1939,598,69116,69116,69116,69116,69116,69116,69116,69116,69116,69116,69116,69116,11040,20077,99453,158754,139880,1852,580,39290,39290,39290,39290,39290,39290,39290,39290,39290,39290,39290,39290,11094,25041,71883,37207,35453,15406,15406,3215,25781,25781,25781,25781
17,17_MODEL9087988095.xml.ssa,./models/sbml/test/all/17_MODEL9087988095.xml.ssa.sbml,WithProbWEAK_UNTIL,2154,1283,69381,69381,69381,69381,69381,69381,69381,69381,69381,69381,69381,69381,21847,23590,62912,882503,813560,1923,592,40641,40641,40641,40641,40641,40641,40641,40641,40641,40641,40641,40641,3336,21619,66198,183856,164360,14286,14286,3519,25093,25093,25093,25093
18,16_BIOMD0000000031.xml.ssa,./models/sbml/test/all/16_BIOMD0000000031.xml.ssa.sbml,WithProbWEAK_UNTIL,1920,542,51939,51939,51939,51939,51939,51939,51939,51939,51939,51939,51939,51939,5759,18946,76837,1669861,1629974,2337,714,88470,88470,88470,88470,88470,88470,88470,88470,88470,88470,88470,88470,12118,49702,139024,296111,274006,11734,11734,3181,30072,30072,30072,30072
19,15_BIOMD0000000027.xml.ssa,./models/sbml/test/all/15_BIOMD0000000027.xml.ssa.sbml,WithProbWEAK_UNTIL,1709,643,49123,49123,49123,49123,49123,49123,49123,49123,49123,49123,49123,49123,3324,12624,71317,389497,371354,1609,579,79584,79584,79584,79584,79584,79584,79584,79584,79584,79584,79584,79584,6611,38885,90761,263085,249750,8108,8108,2772,28716,28716,28716,28716
20,19_BIOMD0000000258.xml.ssa,./models/sbml/test/all/19_BIOMD0000000258.xml.ssa.sbml,WithProbWEAK_UNTIL,1420,339,31601,31601,31601,31601,31601,31601,31601,31601,31601,31601,31601,31601,3921,14388,65780,337454,319760,1705,680,43133,43133,43133,43133,43133,43133,43133,43133,43133,43133,43133,43133,5235,42790,78719,235528,214564,26608,26608,3399,33007,33007,33007,33007
21,24_MODEL9087766308.xml.ssa,./models/sbml/test/all/24_MODEL9087766308.xml.ssa.sbml,WithProbWEAK_UNTIL,1968,8568,83072,83072,83072,83072,83072,83072,83072,83072,83072,83072,83072,83072,3742,27478,86778,892234,837312,1884,654,30237,30237,30237,30237,30237,30237,30237,30237,30237,30237,30237,30237,2781,22245,60955,153346,135469,11307,11307,3350,4262609,4262609,4262609,4262609
22,23_BIOMD0000000363.xml.ssa,./models/sbml/test/all/23_BIOMD0000000363.xml.ssa.sbml,WithProbWEAK_UNTIL,928,349,50792,50792,50792,50792,50792,50792,50792,50792,50792,50792,50792,50792,7805,19473,45199,194996,183694,536,163,32686,32686,32686,32686,32686,32686,32686,32686,32686,32686,32686,32686,5653,18027,44325,566492,507225,11042,11042,3849,35114,35114,35114,35114
23,21_BIOMD0000000024.xml.ssa,./models/sbml/test/all/21_BIOMD0000000024.xml.ssa.sbml,WithProbWEAK_UNTIL,638,209,39812,39812,39812,39812,39812,39812,39812,39812,39812,39812,39812,39812,3509,12300,39015,451738,435016,515,181,40559,40559,40559,40559,40559,40559,40559,40559,40559,40559,40559,40559,5778,27978,59375,144081,132368,8769,8769,3251,16964,16964,16964,16964
24,25_MODEL9088169066.xml.ssa,./models/sbml/test/all/25_MODEL9088169066.xml.ssa.sbml,WithProbWEAK_UNTIL,604,176,31831,31831,31831,31831,31831,31831,31831,31831,31831,31831,31831,31831,2440,12275,68125,461808,434088,520,165,25692,25692,25692,25692,25692,25692,25692,25692,25692,25692,25692,25692,1273,154798,37207,119810,110080,11655,11655,3442,21149,21149,21149,21149
25,22_BIOMD0000000025.xml.ssa,./models/sbml/test/all/22_BIOMD0000000025.xml.ssa.sbml,WithProbWEAK_UNTIL,580,227,19679,19679,19679,19679,19679,19679,19679,19679,19679,19679,19679,19679,3476,11712,38287,268976,252645,482,227,34304,34304,34304,34304,34304,34304,34304,34304,34304,34304,34304,34304,3434,20920,38946,136076,125201,8130,8130,3404,28111,28111,28111,28111
26,27_BIOMD0000000068.xml.ssa,./models/sbml/test/all/27_BIOMD0000000068.xml.ssa.sbml,WithProbWEAK_UNTIL,652,201,31195,31195,31195,31195,31195,31195,31195,31195,31195,31195,31195,31195,3353,15463,74237,441262,416410,485,198,36417,36417,36417,36417,36417,36417,36417,36417,36417,36417,36417,36417,3063,14950,40088,118689,108029,13662,13662,3422,27175,27175,27175,27175
27,26_MODEL9088294310.xml.ssa,./models/sbml/test/all/26_MODEL9088294310.xml.ssa.sbml,WithProbWEAK_UNTIL,598,196,28061,28061,28061,28061,28061,28061,28061,28061,28061,28061,28061,28061,3811,12809,92461,475471,446825,453,172,24751,24751,24751,24751,24751,24751,24751,24751,24751,24751,24751,24751,2421,19280,35472,146940,137243,11443,11443,5470,20947,20947,20947,20947
28,28_BIOMD0000000233.xml.ssa,./models/sbml/test/all/28_BIOMD0000000233.xml.ssa.sbml,WithProbWEAK_UNTIL,628,236,51999,51999,51999,51999,51999,51999,51999,51999,51999,51999,51999,51999,2734,18148,47226,456150,437396,563,167,51030,51030,51030,51030,51030,51030,51030,51030,51030,51030,51030,51030,6250,76233,92115,222890,207441,10710,10710,3651,35190,35190,35190,35190
29,30_BIOMD0000000194.xml.ssa,./models/sbml/test/all/30_BIOMD0000000194.xml.ssa.sbml,WithProbWEAK_UNTIL,795,197,62181,62181,62181,62181,62181,62181,62181,62181,62181,62181,62181,62181,4358,34115,71802,251818,230432,484,171,35848,35848,35848,35848,35848,35848,35848,35848,35848,35848,35848,35848,4454,29720,54605,183569,166186,10983,10983,3654,27217,27217,27217,27217
30,29_BIOMD0000000114.xml.ssa,./models/sbml/test/all/29_BIOMD0000000114.xml.ssa.sbml,WithProbWEAK_UNTIL,830,258,33333,33333,33333,33333,33333,33333,33333,33333,33333,33333,33333,33333,9350,13973,46260,456634,416893,712,184,40562,40562,40562,40562,40562,40562,40562,40562,40562,40562,40562,40562,3757,30128,87633,511010,473853,11494,11494,3860,29915,29915,29915,29915
31,31_BIOMD0000000178.xml.ssa,./models/sbml/test/all/31_BIOMD0000000178.xml.ssa.sbml,WithProbWEAK_UNTIL,842,198,86739,86739,86739,86739,86739,86739,86739,86739,86739,86739,86739,86739,3959,20545,71246,998382,946255,641,186,45672,45672,45672,45672,45672,45672,45672,45672,45672,45672,45672,45672,4019,23692,64945,895338,677913,12970,12970,4090,35635,35635,35635,35635
32,33_BIOMD0000000253.xml.ssa,./models/sbml/test/all/33_BIOMD0000000253.xml.ssa.sbml,WithProbWEAK_UNTIL,956,193,38161,38161,38161,38161,38161,38161,38161,38161,38161,38161,38161,38161,3824,30692,63862,728828,685397,648,193,55325,55325,55325,55325,55325,55325,55325,55325,55325,55325,55325,55325,3645,47029,86433,259475,238707,20357,20357,4236,32779,32779,32779,32779
33,32_BIOMD0000000309.xml.ssa,./models/sbml/test/all/32_BIOMD0000000309.xml.ssa.sbml,WithProbWEAK_UNTIL,718,191,37084,37084,37084,37084,37084,37084,37084,37084,37084,37084,37084,37084,24403,23882,87140,476026,448360,1027,283,70862,70862,70862,70862,70862,70862,70862,70862,70862,70862,70862,70862,4665,46288,75781,152013,134901,11764,11764,4103,26382,26382,26382,26382
34,36_BIOMD0000000231.xml.ssa,./models/sbml/test/all/36_BIOMD0000000231.xml.ssa.sbml,WithProbWEAK_UNTIL,1049,219,41548,41548,41548,41548,41548,41548,41548,41548,41548,41548,41548,41548,5611,32046,75467,1177426,1109586,784,213,54980,54980,54980,54980,54980,54980,54980,54980,54980,54980,54980,54980,4024,35874,82357,721879,681645,14311,14311,4476,40404,40404,40404,40404
35,34_MODEL1108260010.xml.ssa,./models/sbml/test/all/34_MODEL1108260010.xml.ssa.sbml,WithProbWEAK_UNTIL,644,223,48009,48009,48009,48009,48009,48009,48009,48009,48009,48009,48009,48009,3955,19517,66758,454384,426470,791,240,61165,61165,61165,61165,61165,61165,61165,61165,61165,61165,61165,61165,3679,23004,112497,174597,158546,13703,13703,3646,28836,28836,28836,28836
36,35_BIOMD0000000236.xml.ssa,./models/sbml/test/all/35_BIOMD0000000236.xml.ssa.sbml,WithProbWEAK_UNTIL,726,149,32038,32038,32038,32038,32038,32038,32038,32038,32038,32038,32038,32038,3398,16362,59410,802553,761825,553,178,83123,83123,83123,83123,83123,83123,83123,83123,83123,83123,83123,83123,2884,33426,68323,501343,466710,11266,11266,3164,76461,76461,76461,76461
37,37_BIOMD0000000319.xml.ssa,./models/sbml/test/all/37_BIOMD0000000319.xml.ssa.sbml,WithProbWEAK_UNTIL,778,223,59748,59748,59748,59748,59748,59748,59748,59748,59748,59748,59748,59748,3400,30101,103128,709539,670690,606,167,36164,36164,36164,36164,36164,36164,36164,36164,36164,36164,36164,36164,3228,23050,60939,530615,500105,10510,10510,2985,43777,43777,43777,43777
38,40_BIOMD0000000316.xml.ssa,./models/sbml/test/all/40_BIOMD0000000316.xml.ssa.sbml,WithProbWEAK_UNTIL,664,175,32803,32803,32803,32803,32803,32803,32803,32803,32803,32803,32803,32803,11689,22722,59926,519968,497652,519,154,35936,35936,35936,35936,35936,35936,35936,35936,35936,35936,35936,35936,3795,20892,57232,97745,85737,11245,11245,3251,21140,21140,21140,21140
39,39_BIOMD0000000312.xml.ssa,./models/sbml/test/all/39_BIOMD0000000312.xml.ssa.sbml,WithProbWEAK_UNTIL,598,201,31794,31794,31794,31794,31794,31794,31794,31794,31794,31794,31794,31794,3622,23331,60217,313973,291893,582,179,30890,30890,30890,30890,30890,30890,30890,30890,30890,30890,30890,30890,2540,19123,53488,103955,92446,11411,11411,3465,24121,24121,24121,24121
40,38_BIOMD0000000155.xml.ssa,./models/sbml/test/all/38_BIOMD0000000155.xml.ssa.sbml,WithProbWEAK_UNTIL,711,175,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,2666,28421,60394,273487,260508,349,120,28544,28544,28544,28544,28544,28544,28544,28544,28544,28544,28544,28544,1782,31213,56123,57622,50393,14416,14416,2407,13222,13222,13222,13222
41,41_BIOMD0000000036.xml.ssa,./models/sbml/test/all/41_BIOMD0000000036.xml.ssa.sbml,WithProbWEAK_UNTIL,560,143,18891,18891,18891,18891,18891,18891,18891,18891,18891,18891,18891,18891,3496,12869,38762,233059,219370,366,149,26192,26192,26192,26192,26192,26192,26192,26192,26192,26192,26192,26192,2010,26099,58950,206776,190664,7733,7733,3197,36489,36489,36489,36489
42,42_MODEL5954483266.xml.ssa,./models/sbml/test/all/42_MODEL5954483266.xml.ssa.sbml,WithProbWEAK_UNTIL,685,245,42677,42677,42677,42677,42677,42677,42677,42677,42677,42677,42677,42677,3619,17652,68799,325295,302194,553,224,38530,38530,38530,38530,38530,38530,38530,38530,38530,38530,38530,38530,2890,21425,47565,94305,81746,14270,14270,3183,22657,22657,22657,22657
43,43_MODEL1008060000.xml.ssa,./models/sbml/test/all/43_MODEL1008060000.xml.ssa.sbml,WithProbWEAK_UNTIL,935,148,30187,30187,30187,30187,30187,30187,30187,30187,30187,30187,30187,30187,3558,34891,57401,434957,409531,695,243,41679,41679,41679,41679,41679,41679,41679,41679,41679,41679,41679,41679,3381,38022,77870,197764,183023,10665,10665,3412,30862,30862,30862,30862
44,44_MODEL1009230000.xml.ssa,./models/sbml/test/all/44_MODEL1009230000.xml.ssa.sbml,WithProbWEAK_UNTIL,823,163,26510,26510,26510,26510,26510,26510,26510,26510,26510,26510,26510,26510,3243,79291,60871,410867,386705,807,214,52620,52620,52620,52620,52620,52620,52620,52620,52620,52620,52620,52620,3184,34142,74400,231619,211787,9913,9913,3351,27707,27707,27707,27707
45,45_BIOMD0000000121.xml.ssa,./models/sbml/test/all/45_BIOMD0000000121.xml.ssa.sbml,WithProbWEAK_UNTIL,822,144,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,6484,24746,64735,527364,495833,507,223,36052,36052,36052,36052,36052,36052,36052,36052,36052,36052,36052,36052,2696,30073,57167,702773,669730,12527,12527,3205,31514,31514,31514,31514
46,48_BIOMD0000000057.xml.ssa,./models/sbml/test/all/48_BIOMD0000000057.xml.ssa.sbml,WithProbWEAK_UNTIL,730,121,92209,92209,92209,92209,92209,92209,92209,92209,92209,92209,92209,92209,2485,12265,42949,494095,467707,459,152,22475,22475,22475,22475,22475,22475,22475,22475,22475,22475,22475,22475,1818,25790,35536,301268,283384,5801,5801,2274,14946,14946,14946,14946
47,46_BIOMD0000000115.xml.ssa,./models/sbml/test/all/46_BIOMD0000000115.xml.ssa.sbml,WithProbWEAK_UNTIL,539,114,25834,25834,25834,25834,25834,25834,25834,25834,25834,25834,25834,25834,2024,12094,44044,290710,273456,451,163,31687,31687,31687,31687,31687,31687,31687,31687,31687,31687,31687,31687,2545,24127,46134,110155,101471,7768,7768,4486,16060,16060,16060,16060
48,47_MODEL1105180000.xml.ssa,./models/sbml/test/all/47_MODEL1105180000.xml.ssa.sbml,WithProbWEAK_UNTIL,812,236,29033,29033,29033,29033,29033,29033,29033,29033,29033,29033,29033,29033,2815,17782,79883,402514,384242,649,180,72648,72648,72648,72648,72648,72648,72648,72648,72648,72648,72648,72648,4066,44297,64244,213287,198770,9985,9985,5469,30385,30385,30385,30385
49,49_BIOMD0000000311.xml.ssa,./models/sbml/test/all/49_BIOMD0000000311.xml.ssa.sbml,WithProbWEAK_UNTIL,1485,143,212773,212773,212773,212773,212773,212773,212773,212773,212773,212773,212773,212773,9157,29729,79645,230183,217375,640,203,44603,44603,44603,44603,44603,44603,44603,44603,44603,44603,44603,44603,1890,27161,35502,90266,80272,10293,10293,3341,25613,25613,25613,25613
50,50_BIOMD0000000191.xml.ssa,./models/sbml/test/all/50_BIOMD0000000191.xml.ssa.sbml,WithProbWEAK_UNTIL,903,262,42313,42313,42313,42313,42313,42313,42313,42313,42313,42313,42313,42313,6955,37902,81072,447424,424992,564,186,53634,53634,53634,53634,53634,53634,53634,53634,53634,53634,53634,53634,3072,53835,92617,302077,288403,10624,10624,2289,31228,31228,31228,31228
51,52_BIOMD0000000307.xml.ssa,./models/sbml/test/all/52_BIOMD0000000307.xml.ssa.sbml,WithProbWEAK_UNTIL,864,130,24297,24297,24297,24297,24297,24297,24297,24297,24297,24297,24297,24297,2448,11996,88239,392511,375235,421,147,16063,16063,16063,16063,16063,16063,16063,16063,16063,16063,16063,16063,1721,29408,35742,234334,221541,25674,25674,1944,16236,16236,16236,16236
52,54_BIOMD0000000040.xml.ssa,./models/sbml/test/all/54_BIOMD0000000040.xml.ssa.sbml,WithProbWEAK_UNTIL,730,155,24031,24031,24031,24031,24031,24031,24031,24031,24031,24031,24031,24031,2023,18502,46269,225982,215410,436,175,18960,18960,18960,18960,18960,18960,18960,18960,18960,18960,18960,18960,1467,35199,42834,118059,107717,6561,6561,1933,17114,17114,17114,17114
53,51_BIOMD0000000154.xml.ssa,./models/sbml/test/all/51_BIOMD0000000154.xml.ssa.sbml,WithProbWEAK_UNTIL,611,124,20654,20654,20654,20654,20654,20654,20654,20654,20654,20654,20654,20654,2184,10816,53327,193961,180932,424,142,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,16599,1655,33271,36844,67677,61320,5562,5562,1908,14418,14418,14418,14418
54,53_BIOMD0000000337.xml.ssa,./models/sbml/test/all/53_BIOMD0000000337.xml.ssa.sbml,WithProbWEAK_UNTIL,546,126,21447,21447,21447,21447,21447,21447,21447,21447,21447,21447,21447,21447,2278,11007,39927,470864,441182,509,193,24358,24358,24358,24358,24358,24358,24358,24358,24358,24358,24358,24358,2106,27686,31862,380961,362896,11270,11270,2428,30003,30003,30003,30003
55,55_BIOMD0000000062.xml.ssa,./models/sbml/test/all/55_BIOMD0000000062.xml.ssa.sbml,WithProbWEAK_UNTIL,751,187,33820,33820,33820,33820,33820,33820,33820,33820,33820,33820,33820,33820,2517,17222,61538,281725,268425,621,177,27373,27373,27373,27373,27373,27373,27373,27373,27373,27373,27373,27373,2571,17315,52304,79785,65470,10764,10764,2487,27197,27197,27197,27197
56,56_BIOMD0000000156.xml.ssa,./models/sbml/test/all/56_BIOMD0000000156.xml.ssa.sbml,WithProbWEAK_UNTIL,756,194,34403,34403,34403,34403,34403,34403,34403,34403,34403,34403,34403,34403,2403,11345,69885,283659,270467,506,133,25817,25817,25817,25817,25817,25817,25817,25817,25817,25817,25817,25817,2415,13170,35907,100724,86338,11816,11816,2580,25889,25889,25889,25889
57,62_BIOMD0000000305.xml.ssa,./models/sbml/test/all/62_BIOMD0000000305.xml.ssa.sbml,WithProbWEAK_UNTIL,773,265,40061,40061,40061,40061,40061,40061,40061,40061,40061,40061,40061,40061,4156,24213,102212,592417,566391,701,180,25124,25124,25124,25124,25124,25124,25124,25124,25124,25124,25124,25124,2640,27732,62761,187992,172531,108265,108265,2563,29289,29289,29289,29289
58,59_BIOMD0000000054.xml.ssa,./models/sbml/test/all/59_BIOMD0000000054.xml.ssa.sbml,WithProbWEAK_UNTIL,750,297,52399,52399,52399,52399,52399,52399,52399,52399,52399,52399,52399,52399,9596,15810,73087,587662,560237,507,199,29807,29807,29807,29807,29807,29807,29807,29807,29807,29807,29807,29807,2322,27870,52320,273680,259631,27521,27521,2634,22472,22472,22472,22472
59,60_BIOMD0000000248.xml.ssa,./models/sbml/test/all/60_BIOMD0000000248.xml.ssa.sbml,WithProbWEAK_UNTIL,1087,201,50017,50017,50017,50017,50017,50017,50017,50017,50017,50017,50017,50017,3615,28850,76835,518502,495492,544,163,26720,26720,26720,26720,26720,26720,26720,26720,26720,26720,26720,26720,1853,35422,57787,373602,354983,9090,9090,2570,35669,35669,35669,35669
60,58_BIOMD0000000117.xml.ssa,./models/sbml/test/all/58_BIOMD0000000117.xml.ssa.sbml,WithProbWEAK_UNTIL,957,176,31219,31219,31219,31219,31219,31219,31219,31219,31219,31219,31219,31219,3376,17800,55651,369427,351351,527,199,30634,30634,30634,30634,30634,30634,30634,30634,30634,30634,30634,30634,3237,45765,60685,195698,179186,7100,7100,2686,29302,29302,29302,29302
